===== Starting battle of <FastTrapClearBot> vs <EndTitled> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >1 | 19< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 20< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 21< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >22< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >24< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >25< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >25< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >26< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >26< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >27< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >27< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >28< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >28< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >29< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >29< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >30< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >30< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >31< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >31< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >32< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >32< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >33< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >33< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >34< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >34< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >35< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >35< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >36< | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | >35 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | >35 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | >34 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | >34 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | >33 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -5< | >33 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -6< | >32 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -7< | >32 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -8< | >31 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -9< | >31 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -10< | >30 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -11< | >30 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -12< | >29 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -13< | >29 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -14< | >28 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -15< | >28 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -16< | >27 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -17< | >27 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -18< | >26 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -19< | >26 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -20< | >25 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -21< | >25 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0 | -22< | >24 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0 | 0< | -22 | >24 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0 | 0< | 0 | -22 | >23 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 0< | 0 | 0 | -22 | >23 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 1< | 0 | 0 | -22 | >22 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 2< | 0 | 0 | -22 | >22 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 3< | 0 | 0 | -22 | >21 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 4< | 0 | 0 | -22 | >21 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 5< | 0 | 0 | -22 | >20 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 6< | 0 | 0 | -22 | >20 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 7< | 0 | 0 | -22 | >19 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 8< | 0 | 0 | -22 | >19 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 9< | 0 | 0 | -22 | >18 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 10< | 0 | 0 | -22 | >18 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 11< | 0 | 0 | -22 | >17 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 12< | 0 | 0 | -22 | >17 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 13< | 0 | 0 | -22 | >16 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 14< | 0 | 0 | -22 | >16 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 15< | 0 | 0 | -22 | >15 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 16< | 0 | 0 | -22 | >15 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 17< | 0 | 0 | -22 | >14 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 18< | 0 | 0 | -22 | >14 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 19< | 0 | 0 | -22 | >13 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 20< | 0 | 0 | -22 | >13 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 21< | 0 | 0 | -22 | >12 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 22< | 0 | 0 | -22 | >12 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 23< | 0 | 0 | -22 | >11 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 24< | 0 | 0 | -22 | >11 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 25< | 0 | 0 | -22 | >10 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 26< | 0 | 0 | -22 | >10 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 27< | 0 | 0 | -22 | >9 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 28< | 0 | 0 | -22 | >9 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 29< | 0 | 0 | -22 | >8 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 30< | 0 | 0 | -22 | >8 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 31< | 0 | 0 | -22 | >7 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 32< | 0 | 0 | -22 | >7 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 33< | 0 | 0 | -22 | >6 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 34< | 0 | 0 | -22 | >6 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 35< | 0 | 0 | -22 | >5 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 36< | 0 | 0 | -22 | >5 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 37< | 0 | 0 | -22 | >4 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 38< | 0 | 0 | -22 | >4 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 39< | 0 | 0 | -22 | >3 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 40< | 0 | 0 | -22 | >3 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 41< | 0 | 0 | -22 | >2 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0 | 42< | 0 | 0 | -22 | >2 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | 0< | 42 | 0 | 0 | -22 | >1 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -1< | 42 | 0 | 0 | -22 | >1 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -2< | 42 | 0 | 0 | -22 | >0 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -3< | 42 | 0 | 0 | -22 | >0 | 0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -4< | 42 | 0 | 0 | -22 | 0 | >0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -5< | 42 | 0 | 0 | -22 | 0 | >1 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -6< | 42 | 0 | 0 | -22 | 0 | >1 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -7< | 42 | 0 | 0 | -22 | 0 | >0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -8< | 42 | 0 | 0 | -22 | 0 | >0 | 0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -9< | 42 | 0 | 0 | -22 | 0 | 0 | >0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -10< | 42 | 0 | 0 | -22 | 0 | 0 | >1 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -11< | 42 | 0 | 0 | -22 | 0 | 0 | >1 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -12< | 42 | 0 | 0 | -22 | 0 | 0 | >0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -13< | 42 | 0 | 0 | -22 | 0 | 0 | >0 | -18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -14< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -15< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-17 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -16< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-17 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -17< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -18< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-18 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -19< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-19 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -20< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-19 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -21< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-20 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | -22< | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-20 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0< | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-21 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0< | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-21 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-22 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-22 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 1< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-23 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 2< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-23 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 3< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-24 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 4< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-24 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 5< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-25 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 6< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-25 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 7< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-26 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 8< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-26 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 9< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-27 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 10< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-27 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 11< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-28 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 12< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-28 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 13< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-29 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 14< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-29 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 15< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-30 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 16< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-30 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 17< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-31 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 18< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-31 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 19< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-32 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 20< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-32 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 21< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-33 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 22< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-33 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 23< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-34 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 24< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-34 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 25< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-35 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 26< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-35 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 27< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-36 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 28< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-36 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 29< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-37 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 30< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-37 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 31< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-38 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 32< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-38 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 33< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-39 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 34< | 0 | 0 | -22 | 42 | 0 | 0 | -22 | 0 | 0 | 0 | >-39 | 128 ]
